# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
88.609	2104	2092	1915	37471531	536871336	335814656
88.625	2105	2094	1916	71025963	536870932	335814656
88.641	2102	2092	1917	71025963	536870932	335814656
88.656	2104	2089	1921	71025963	536870932	335814656
88.672	2103	2090	1924	71025963	536870932	335814656
88.688	2107	2089	1926	71025963	536870932	335814656
88.703	2105	2088	1925	71025963	536870932	335814656
88.719	2104	2092	1922	71025963	536870932	335814656
88.734	2101	2096	1919	71025963	536870932	335814656
88.75	2098	2098	1920	71025963	536870932	335814656
88.766	2099	2102	1919	71025963	536870932	335814656
88.781	2107	2097	1923	71025963	536870932	335814656
88.797	2102	2100	1924	71025963	536870932	335814656
88.813	2100	2099	1924	71025963	536870932	335814656
88.828	2097	2098	1925	71025963	536870932	335814656
88.844	2096	2099	1925	71025963	536870932	335814656
88.859	2099	2103	1926	71025963	536870932	335814656
88.875	2096	2099	1925	71025963	536870932	335814656
88.891	2091	2100	1927	71025963	536870932	335814656
88.906	2099	2101	1929	71025963	536870932	335814656
88.922	2091	2101	1931	71025963	536870932	335814656
88.938	2096	2100	1929	71025963	536870932	335814656
88.953	2092	2100	1932	20694315	536880094	335814656
88.969	2097	2102	1931	71025963	536871044	335814656
88.984	2093	2101	1932	71025963	536871044	335814656
89	2091	2102	1931	37471531	536871334	335814656
89.016	2093	2106	1932	37471531	536871336	335814656
89.031	2092	2103	1932	37471531	536871336	335814656
89.047	2094	2104	1933	37471531	536871336	335814656
89.063	2092	2103	1936	37471531	536871336	335814656
89.078	2091	2104	1935	37471531	536871336	335814656
89.094	2089	2103	1936	37471531	536871336	335814656
89.109	2092	2107	1940	37471531	536871336	335814656
89.125	2090	2105	1938	37471531	536871336	335814656
89.141	2089	2108	1939	37471531	536871336	335814656
89.156	2088	2106	1934	37471531	536871336	335814656
89.172	2088	2108	1937	37471531	536871336	335814656
89.188	2087	2107	1939	37471531	536871336	335814656
89.203	2086	2111	1937	37471531	536871336	335814656
89.219	2087	2108	1942	37471531	536871336	335814656
89.234	2088	2110	1940	37471531	536871336	335814656
89.25	2086	2107	1942	37471531	536871336	335814656
89.266	2085	2106	1941	37471531	536871336	335814656
89.281	2088	2110	1944	37471531	536871336	335814656
89.297	2083	2109	1946	37471531	536871336	335814656
89.313	2084	2110	1944	37471531	536871336	335814656
89.328	2084	2112	1944	37471531	536871336	335814656
89.344	2083	2113	1945	37471531	536871336	335814656
89.359	2083	2111	1943	37471531	536871336	335814656
89.375	2080	2112	1941	37471531	536871336	335814656
89.391	2083	2112	1943	37471531	536871336	335814656
89.406	2079	2112	1941	37471531	536871336	335814656
89.422	2086	2112	1943	37471531	536871336	335814656
89.438	2082	2112	1947	37471531	536871336	335814656
89.453	2083	2117	1947	37471531	536871336	335814656
89.469	2082	2113	1949	37471531	536871336	335814656
89.484	2083	2112	1949	37471531	536871336	335814656
89.5	2081	2111	1947	37471531	536871336	335814656
89.516	2081	2112	1949	37471531	536871336	335814656
89.531	2081	2120	1945	37471531	536871336	335814656
89.547	2080	2115	1948	37471531	536871336	335814656
89.563	2081	2112	1947	37471531	536871336	335814656
89.578	2078	2117	1948	37471531	536871336	335814656
89.594	2081	2112	1950	37471531	536871336	335814656
89.609	2080	2112	1950	37471531	536871336	335814656
89.625	2080	2119	1948	71025963	536870932	335814656
89.641	2080	2115	1951	71025963	536870932	335814656
89.656	2081	2112	1951	71025963	536870932	335814656
89.672	2077	2114	1949	71025963	536870932	335814656
89.688	2080	2114	1949	71025963	536870932	335814656
89.703	2082	2113	1951	71025963	536870932	335814656
