# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
0.0241	344	-254	-90	942	933	858
0.0242	333	-213	-119	937	941	859
0.0243	315	-155	-159	926	944	856
0.0244	286	-92	-194	914	946	854
0.0245	243	-25	-217	902	946	854
0.0246	206	28	-232	890	946	854
0.0247	174	78	-252	879	945	855
0.0248	122	134	-256	868	942	857
0.0249	56	192	-248	859	941	862
0.025	1	247	-247	856	944	873
0.0251	-36	284	-246	854	946	884
0.0252	-80	320	-238	853	946	896
0.0253	-122	346	-224	854	946	908
0.0254	-174	370	-196	855	945	919
0.0255	-223	389	-165	857	943	930
0.0256	-277	399	-121	859	939	940
0.0257	-324	396	-70	857	929	943
0.0258	-370	392	-22	855	917	945
0.0259	-384	372	14	854	906	946
0.026	-403	351	53	854	894	946
0.0261	-408	316	92	854	882	945
0.0262	-399	269	131	856	871	943
0.0263	-386	204	182	859	860	941
0.0264	-359	139	221	870	857	943
0.0265	-324	62	264	881	855	945
0.0266	-292	2	292	892	853	946
0.0267	-261	-43	305	904	853	947
0.0268	-222	-94	318	916	854	946
0.0269	-180	-150	330	927	856	944
0.027	-129	-203	333	938	859	941
0.0271	-60	-250	312	943	857	932
0.0272	-14	-302	318	945	855	921
0.0273	21	-325	305	946	854	910
0.0274	56	-346	290	947	853	898
0.0275	91	-369	279	946	854	886
0.0276	135	-379	245	944	856	875
0.0277	184	-386	202	942	858	864
0.0278	220	-392	174	942	866	858
0.0279	258	-384	126	945	877	855
0.028	293	-365	73	946	888	854
0.0281	319	-347	29	947	900	853
0.0282	337	-321	-15	946	912	854
0.0283	344	-292	-52	945	923	855
0.0284	342	-256	-86	942	934	858
0.0285	333	-207	-125	936	941	858
0.0286	317	-153	-163	925	944	856
0.0287	283	-95	-187	914	946	854
0.0288	248	-24	-222	902	946	854
0.0289	216	26	-242	890	946	854
0.029	171	75	-245	878	945	855
0.0291	118	136	-252	867	942	858
0.0292	56	198	-254	859	941	863
0.0293	-3	243	-239	856	944	873
0.0294	-36	284	-246	854	946	884
0.0295	-78	318	-240	853	946	896
0.0296	-121	343	-221	854	946	908
0.0297	-174	374	-200	855	945	920
0.0298	-226	392	-164	857	943	931
0.0299	-283	397	-113	859	939	941
0.03	-329	399	-69	856	928	943
0.0301	-371	393	-21	854	917	945
0.0302	-395	375	21	854	905	946
0.0303	-414	352	62	854	893	946
0.0304	-409	319	91	855	882	945
0.0305	-402	260	142	857	871	943
0.0306	-386	206	180	859	860	940
0.0307	-358	140	218	870	857	943
0.0308	-323	61	263	881	855	945
0.0309	-294	2	292	893	853	946
0.031	-261	-43	305	904	853	947
0.0311	-228	-98	326	916	854	946
0.0312	-178	-150	328	928	856	944
0.0313	-124	-196	322	938	859	941
0.0314	-58	-262	320	943	857	932
0.0315	-10	-300	310	945	855	920
0.0316	24	-322	300	946	854	909
0.0317	59	-353	295	947	853	897
0.0318	96	-368	274	946	854	885
0.0319	141	-375	235	944	856	874
0.032	178	-388	212	941	859	863
0.0321	220	-386	168	942	867	857
0.0322	264	-376	114	945	878	855
0.0323	292	-364	72	946	889	854
0.0324	322	-342	22	947	901	853
0.0325	337	-319	-17	946	913	854
0.0326	343	-291	-51	944	924	855
0.0327	340	-248	-92	942	935	858
0.0328	331	-199	-131	935	942	858
0.0329	308	-150	-158	925	944	856
0.033	274	-84	-188	913	946	854
0.0331	242	-16	-224	901	946	854
0.0332	206	28	-234	889	946	854
